Body_Type,Gender,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_Efficiency,CarbonEmission
normal,female,omnivore,more frequently,electricity,private,never,170,frequently,2463,large,2,5,21,5,Yes,1780
overweight,male,pescatarian,less frequently,coal,private,sometimes,248,never,189,small,3,12,43,20,Yes,1890
underweight,male,vegan,twice a day,electricity,walk/bicycle,often,250,never,19,medium,6,14,10,15,No,1123
overweight,female,omnivore,twice a day,electricity,walk/bicycle,often,261,never,5,small,2,21,18,9,Sometimes,940
obese,female,pescatarian,daily,natural gas,walk/bicycle,often,231,frequently,60,medium,5,21,15,11,Sometimes,2000
overweight,male,vegetarian,twice a day,coal,public,sometimes,151,never,1274,large,7,16,11,17,Sometimes,2137
overweight,male,vegan,daily,natural gas,private,sometimes,274,rarely,8701,medium,4,16,50,23,Sometimes,3666
obese,female,pescatarian,less frequently,electricity,public,never,173,never,1366,small,7,10,18,14,Sometimes,782
normal,female,vegan,twice a day,wood,public,sometimes,238,rarely,1651,medium,5,3,34,5,Yes,1363
overweight,female,pescatarian,daily,natural gas,walk/bicycle,never,101,never,75,small,4,20,16,12,Yes,758
obese,female,vegetarian,less frequently,coal,private,often,89,never,7423,extra large,2,7,12,11,Sometimes,1479
overweight,female,omnivore,less frequently,electricity,private,often,169,never,6544,extra large,7,7,22,13,Yes,1761
normal,female,omnivore,less frequently,coal,public,often,249,never,580,large,1,22,8,6,Sometimes,1401
obese,male,pescatarian,more frequently,coal,public,often,267,very frequently,661,medium,6,8,35,9,No,4132
obese,female,omnivore,twice a day,coal,private,never,223,very frequently,6727,extra large,4,19,46,24,No,5754
overweight,male,vegan,less frequently,natural gas,walk/bicycle,sometimes,262,frequently,16,medium,4,20,36,18,No,2243
underweight,male,vegetarian,twice a day,natural gas,walk/bicycle,often,54,very frequently,31,large,4,8,23,21,Yes,2580
normal,female,vegetarian,more frequently,electricity,walk/bicycle,often,82,rarely,54,large,4,3,47,18,Sometimes,1509
overweight,female,pescatarian,twice a day,natural gas,public,often,263,rarely,931,extra large,7,16,25,21,Sometimes,2461
normal,female,omnivore,more frequently,coal,walk/bicycle,sometimes,195,very frequently,13,small,2,15,17,6,Sometimes,2284
normal,male,pescatarian,twice a day,electricity,walk/bicycle,sometimes,98,rarely,79,small,2,18,22,23,No,1255
normal,female,vegan,less frequently,natural gas,walk/bicycle,sometimes,142,rarely,91,extra large,4,8,3,20,Yes,1134
underweight,female,vegetarian,more frequently,natural gas,walk/bicycle,never,113,very frequently,75,small,1,13,6,20,Sometimes,1795
underweight,male,omnivore,more frequently,electricity,private,sometimes,253,frequently,9920,medium,6,17,2,23,Yes,1822
underweight,female,omnivore,more frequently,natural gas,walk/bicycle,often,248,very frequently,29,extra large,5,21,33,1,No,2875
normal,female,vegetarian,less frequently,coal,public,sometimes,145,frequently,772,large,5,13,22,18,Sometimes,2013
obese,female,vegetarian,less frequently,coal,private,never,76,never,2672,medium,4,12,15,7,No,1773
overweight,female,vegan,twice a day,coal,walk/bicycle,often,85,frequently,35,medium,4,20,34,4,Sometimes,2160
normal,male,vegetarian,daily,natural gas,walk/bicycle,often,189,frequently,8,large,3,0,25,0,Sometimes,1847
overweight,male,pescatarian,twice a day,wood,private,often,53,very frequently,601,small,4,15,30,3,Sometimes,2729
obese,female,pescatarian,more frequently,wood,walk/bicycle,often,286,never,37,large,6,8,41,2,No,2283
overweight,female,omnivore,twice a day,electricity,public,often,283,frequently,626,extra large,3,1,38,8,Yes,2262
obese,female,vegan,more frequently,coal,walk/bicycle,often,209,rarely,13,small,4,11,26,20,No,1866
normal,female,omnivore,less frequently,coal,walk/bicycle,never,271,rarely,51,extra large,5,4,19,18,Yes,1831
normal,female,pescatarian,daily,natural gas,public,sometimes,74,never,1568,small,6,19,42,19,Sometimes,1423
underweight,female,vegan,less frequently,coal,public,often,201,rarely,880,medium,5,15,39,19,Sometimes,1707
normal,male,pescatarian,daily,wood,public,often,154,frequently,401,small,7,14,19,1,No,1857
obese,male,omnivore,more frequently,coal,public,never,120,rarely,421,large,3,10,33,6,Yes,2077
overweight,female,vegan,daily,wood,private,sometimes,255,frequently,5201,large,3,2,31,7,Yes,3161
obese,female,omnivore,less frequently,natural gas,private,never,281,never,1713,large,5,20,11,6,Sometimes,2052
normal,female,pescatarian,daily,natural gas,walk/bicycle,never,123,frequently,98,extra large,7,19,46,1,No,2333
obese,male,pescatarian,more frequently,wood,public,never,65,never,508,large,6,1,49,6,Yes,2190
normal,male,vegan,twice a day,coal,walk/bicycle,never,117,never,92,medium,1,18,40,8,Yes,1417
obese,male,vegan,more frequently,wood,private,sometimes,249,never,5613,large,6,10,46,22,Sometimes,2220
underweight,male,pescatarian,more frequently,electricity,walk/bicycle,sometimes,169,never,97,small,4,5,39,17,Sometimes,1339
normal,male,vegetarian,more frequently,natural gas,private,often,94,rarely,8522,medium,1,18,38,12,No,4598
obese,female,omnivore,twice a day,electricity,public,never,103,frequently,335,medium,6,9,39,16,Sometimes,2191
underweight,female,pescatarian,twice a day,electricity,private,often,280,very frequently,8925,medium,2,12,41,1,No,2148
underweight,male,pescatarian,less frequently,electricity,private,often,83,frequently,7155,medium,1,20,43,15,Yes,3021
normal,male,vegetarian,daily,natural gas,walk/bicycle,often,236,frequently,93,small,5,4,2,4,No,1505
obese,male,vegan,more frequently,natural gas,walk/bicycle,sometimes,217,never,44,large,2,8,32,10,Yes,1493
obese,male,vegan,daily,natural gas,public,never,272,very frequently,483,large,1,21,40,6,No,2699
underweight,female,pescatarian,more frequently,wood,private,often,63,frequently,278,large,1,20,4,21,No,1436
normal,female,pescatarian,daily,natural gas,walk/bicycle,never,157,frequently,73,medium,4,1,42,22,No,1659
obese,male,pescatarian,twice a day,electricity,walk/bicycle,never,202,frequently,62,medium,1,3,15,14,Sometimes,1556
obese,female,vegan,daily,natural gas,walk/bicycle,never,90,rarely,66,medium,4,14,4,0,Yes,932
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,often,218,never,46,medium,1,7,36,24,Sometimes,1552
underweight,female,pescatarian,daily,electricity,walk/bicycle,sometimes,252,very frequently,68,medium,3,11,11,22,Sometimes,1749
normal,female,vegan,less frequently,coal,private,never,294,very frequently,8037,extra large,7,8,24,1,Yes,4652
overweight,male,pescatarian,more frequently,coal,public,never,104,very frequently,1360,large,6,9,30,3,Yes,3432
normal,male,pescatarian,daily,wood,private,sometimes,274,rarely,6365,medium,2,0,3,23,No,2493
obese,female,vegan,less frequently,coal,public,never,233,rarely,644,extra large,1,6,25,6,No,1587
normal,female,vegetarian,less frequently,electricity,private,never,153,rarely,615,medium,1,13,10,24,No,762
normal,male,pescatarian,twice a day,electricity,walk/bicycle,never,125,frequently,60,small,6,20,23,21,No,1797
underweight,male,vegetarian,daily,electricity,walk/bicycle,never,151,never,3,small,4,16,26,15,Yes,769
obese,female,vegan,more frequently,wood,private,often,235,frequently,128,large,2,8,12,8,Sometimes,1758
overweight,female,omnivore,less frequently,electricity,private,never,188,never,9861,large,2,7,2,22,Sometimes,2332
normal,female,vegetarian,twice a day,coal,walk/bicycle,often,50,rarely,6,medium,6,7,32,1,No,1733
underweight,female,omnivore,less frequently,wood,walk/bicycle,sometimes,287,frequently,40,small,6,8,41,22,Sometimes,1993
normal,female,omnivore,twice a day,coal,private,often,226,rarely,4909,large,3,8,1,2,No,2690
underweight,female,vegetarian,daily,wood,private,often,151,very frequently,3560,small,5,13,4,1,Sometimes,2388
underweight,female,vegan,twice a day,electricity,walk/bicycle,never,213,very frequently,45,extra large,4,7,23,6,No,2039
underweight,male,omnivore,less frequently,electricity,private,never,195,very frequently,2971,extra large,6,11,17,13,No,3844
normal,male,omnivore,less frequently,natural gas,private,often,51,frequently,4252,large,1,0,29,5,Yes,1652
obese,male,pescatarian,less frequently,electricity,public,never,201,rarely,1193,small,6,1,44,10,No,1952
normal,female,pescatarian,twice a day,electricity,private,sometimes,102,frequently,2088,extra large,6,0,17,12,No,2082
obese,male,vegetarian,twice a day,wood,public,never,184,rarely,1159,small,4,18,23,3,Yes,1151
overweight,male,pescatarian,twice a day,wood,private,sometimes,108,frequently,500,extra large,3,20,11,3,No,1808
normal,female,omnivore,daily,electricity,private,sometimes,79,never,6179,medium,3,7,2,22,No,2578
normal,male,vegetarian,more frequently,electricity,private,sometimes,225,frequently,8845,small,2,3,24,17,Sometimes,1822
normal,male,vegetarian,daily,natural gas,private,sometimes,261,frequently,8366,medium,6,5,18,22,Yes,3287
normal,female,omnivore,twice a day,electricity,walk/bicycle,sometimes,52,frequently,16,medium,3,18,0,21,No,1062
underweight,male,vegetarian,less frequently,coal,walk/bicycle,often,89,never,39,extra large,7,18,27,5,Sometimes,1925
normal,male,pescatarian,twice a day,coal,walk/bicycle,never,283,rarely,61,small,7,13,1,11,Sometimes,1508
obese,male,omnivore,more frequently,electricity,private,never,109,rarely,201,medium,5,14,9,3,No,1326
obese,male,vegetarian,more frequently,wood,walk/bicycle,never,281,frequently,50,extra large,1,8,37,4,Yes,2189
obese,male,vegetarian,less frequently,coal,public,often,259,never,817,small,2,9,34,12,Yes,1719
obese,female,pescatarian,daily,coal,public,sometimes,81,very frequently,1047,medium,1,19,10,20,Sometimes,2658
overweight,male,pescatarian,twice a day,natural gas,walk/bicycle,sometimes,211,very frequently,76,small,7,17,5,2,Sometimes,2546
overweight,female,vegetarian,daily,electricity,walk/bicycle,sometimes,162,frequently,6,small,7,5,0,4,Sometimes,1249
obese,male,vegan,daily,coal,walk/bicycle,often,141,very frequently,71,medium,5,6,28,13,No,3686
overweight,male,omnivore,twice a day,wood,public,sometimes,105,very frequently,983,medium,3,9,28,14,No,3168
obese,male,vegan,more frequently,natural gas,walk/bicycle,never,144,rarely,20,extra large,3,12,47,20,Yes,2046
underweight,female,pescatarian,twice a day,natural gas,walk/bicycle,sometimes,80,rarely,22,large,1,24,22,6,Sometimes,1079
obese,female,vegetarian,more frequently,wood,private,often,262,never,1721,extra large,6,4,15,7,No,2682
obese,female,pescatarian,more frequently,wood,private,sometimes,71,rarely,4078,small,4,8,49,13,Yes,1505
normal,female,omnivore,daily,natural gas,private,never,60,never,4772,small,6,18,39,24,Sometimes,2165
overweight,female,vegetarian,daily,natural gas,walk/bicycle,sometimes,292,very frequently,81,large,7,0,37,17,Sometimes,3161
underweight,male,vegan,twice a day,coal,private,often,242,very frequently,8258,large,6,1,5,11,Yes,2887
normal,female,omnivore,twice a day,natural gas,walk/bicycle,never,292,rarely,26,medium,2,9,31,1,Yes,1208
overweight,female,pescatarian,less frequently,wood,private,often,275,rarely,9272,extra large,7,24,45,2,No,5707
obese,female,pescatarian,more frequently,wood,walk/bicycle,sometimes,127,rarely,82,extra large,2,14,25,1,Sometimes,1239
underweight,male,vegetarian,more frequently,wood,walk/bicycle,often,188,frequently,68,small,2,2,39,9,Sometimes,1790
overweight,female,vegan,twice a day,wood,private,sometimes,56,rarely,6873,large,2,0,33,14,Yes,1067
underweight,female,omnivore,more frequently,wood,private,often,273,very frequently,5030,large,5,17,32,7,Yes,3251
overweight,female,pescatarian,daily,coal,walk/bicycle,often,276,very frequently,98,large,3,5,41,22,No,3112
normal,female,vegan,twice a day,coal,private,often,181,rarely,9914,large,3,0,23,2,Sometimes,2983
normal,female,omnivore,more frequently,coal,private,never,101,very frequently,7733,large,3,18,22,6,No,4462
underweight,male,omnivore,more frequently,natural gas,public,sometimes,259,very frequently,1134,large,6,22,10,14,Sometimes,2808
underweight,male,vegan,twice a day,wood,walk/bicycle,sometimes,111,rarely,2,medium,3,1,24,20,No,1466
overweight,female,vegan,less frequently,coal,public,sometimes,64,never,380,medium,2,0,33,3,No,1197
obese,male,vegan,less frequently,coal,private,sometimes,200,never,1644,small,3,3,27,11,Yes,2235
underweight,female,vegan,daily,coal,public,never,62,frequently,1212,extra large,4,23,46,17,No,2006
overweight,male,pescatarian,daily,electricity,walk/bicycle,never,246,rarely,38,medium,7,11,8,10,No,1305
normal,male,pescatarian,more frequently,electricity,walk/bicycle,never,199,frequently,25,medium,6,22,41,9,No,2180
normal,female,omnivore,daily,natural gas,walk/bicycle,sometimes,215,very frequently,50,extra large,1,8,24,15,Sometimes,2263
normal,female,pescatarian,less frequently,natural gas,walk/bicycle,never,109,frequently,24,small,7,15,27,15,No,1555
obese,female,pescatarian,less frequently,electricity,walk/bicycle,often,247,rarely,49,extra large,5,7,11,2,No,1684
normal,female,vegan,more frequently,natural gas,private,never,134,rarely,4601,extra large,2,9,2,14,No,1908
obese,female,pescatarian,less frequently,electricity,private,sometimes,133,frequently,2991,extra large,1,10,5,6,Sometimes,1740
obese,female,vegetarian,more frequently,wood,private,sometimes,275,frequently,2684,extra large,2,22,18,19,Sometimes,2908
obese,female,pescatarian,daily,natural gas,walk/bicycle,never,111,very frequently,86,extra large,5,21,12,7,Sometimes,2598
obese,female,pescatarian,more frequently,electricity,walk/bicycle,often,157,frequently,86,medium,4,18,50,16,No,2178
underweight,male,omnivore,twice a day,wood,private,sometimes,117,frequently,2826,medium,5,0,1,22,Yes,2134
obese,female,vegan,twice a day,coal,walk/bicycle,sometimes,144,never,47,extra large,3,19,34,3,Yes,1457
overweight,female,vegan,daily,coal,private,often,222,frequently,740,medium,1,13,36,23,Sometimes,2405
obese,female,pescatarian,less frequently,natural gas,private,sometimes,239,frequently,4598,small,1,19,25,20,No,3078
obese,male,vegetarian,less frequently,coal,public,never,168,very frequently,1202,extra large,4,24,47,20,Yes,4219
overweight,male,pescatarian,daily,electricity,private,sometimes,262,rarely,3694,large,4,1,10,20,Sometimes,1511
overweight,female,vegetarian,more frequently,natural gas,walk/bicycle,never,251,rarely,14,extra large,5,10,48,22,Yes,2302
overweight,male,vegetarian,twice a day,wood,walk/bicycle,never,60,never,65,extra large,3,22,20,10,No,1243
obese,female,pescatarian,daily,electricity,private,often,60,never,6920,small,1,1,40,19,Sometimes,2249
overweight,male,vegan,twice a day,wood,private,never,239,very frequently,9771,medium,6,7,7,24,No,5639
obese,female,omnivore,more frequently,coal,walk/bicycle,never,55,rarely,82,medium,2,19,10,11,Sometimes,1278
normal,male,pescatarian,less frequently,coal,walk/bicycle,often,125,frequently,71,extra large,3,17,49,16,Yes,2742
normal,male,omnivore,twice a day,wood,public,often,117,very frequently,1024,large,2,18,1,24,No,2636
obese,male,pescatarian,more frequently,natural gas,public,often,165,very frequently,604,small,2,24,40,19,Sometimes,3550
normal,male,pescatarian,more frequently,natural gas,private,often,81,very frequently,6386,extra large,5,19,14,24,No,4046
obese,female,omnivore,twice a day,wood,walk/bicycle,never,229,frequently,22,large,4,7,44,7,No,2383
obese,male,pescatarian,twice a day,coal,public,sometimes,216,rarely,635,extra large,4,11,46,7,Sometimes,2516
obese,male,vegan,more frequently,wood,walk/bicycle,sometimes,61,frequently,68,small,1,24,7,8,Sometimes,1472
overweight,male,pescatarian,twice a day,wood,walk/bicycle,never,59,rarely,75,small,2,8,39,11,No,1284
underweight,female,omnivore,more frequently,coal,public,sometimes,60,never,151,small,1,3,19,5,Sometimes,877
obese,male,pescatarian,more frequently,natural gas,private,sometimes,180,rarely,1249,medium,1,15,25,4,Yes,1629
normal,male,pescatarian,twice a day,coal,walk/bicycle,never,152,never,41,large,5,4,14,19,Sometimes,1354
overweight,male,vegan,twice a day,coal,private,never,249,frequently,5836,small,3,23,45,13,Yes,3286
overweight,male,vegan,twice a day,wood,walk/bicycle,often,146,rarely,31,small,6,8,45,1,Yes,1884
underweight,female,vegetarian,daily,coal,private,often,157,very frequently,6299,medium,5,8,41,18,No,3716
obese,female,pescatarian,more frequently,coal,public,sometimes,53,very frequently,1787,small,4,6,42,18,Yes,3063
underweight,female,vegetarian,more frequently,electricity,public,sometimes,231,frequently,613,medium,2,24,23,2,Sometimes,1311
underweight,male,pescatarian,daily,wood,walk/bicycle,often,259,never,80,extra large,6,22,32,23,Sometimes,1810
obese,male,pescatarian,daily,natural gas,private,often,266,never,21,extra large,5,11,11,5,Yes,1888
normal,female,vegetarian,daily,natural gas,public,often,190,rarely,557,small,5,20,20,12,Yes,1243
overweight,female,vegan,twice a day,electricity,public,never,68,rarely,712,medium,6,6,43,21,No,1323
underweight,male,vegan,twice a day,electricity,public,sometimes,295,rarely,1378,large,3,4,50,1,Sometimes,1668
obese,male,vegan,daily,electricity,walk/bicycle,often,136,frequently,98,extra large,5,24,8,22,No,2410
underweight,female,vegan,less frequently,electricity,walk/bicycle,often,165,frequently,80,small,4,14,39,3,No,1550
underweight,female,vegetarian,more frequently,electricity,walk/bicycle,never,189,very frequently,22,large,1,1,2,23,Yes,1527
normal,male,omnivore,twice a day,wood,private,sometimes,83,frequently,7063,small,4,20,16,2,Yes,4136
underweight,male,pescatarian,daily,natural gas,walk/bicycle,never,226,frequently,89,small,6,15,48,6,Sometimes,1927
obese,female,vegetarian,less frequently,electricity,public,often,223,never,1121,small,2,22,4,21,Sometimes,691
underweight,female,vegetarian,daily,electricity,private,never,188,rarely,8667,small,4,24,38,16,Yes,2890
normal,male,omnivore,twice a day,natural gas,private,often,110,rarely,5508,extra large,2,11,34,15,Yes,2479
underweight,male,vegetarian,more frequently,electricity,private,often,126,frequently,6014,small,1,22,3,17,No,3397
obese,male,vegan,daily,coal,walk/bicycle,often,295,rarely,6,extra large,5,12,33,23,Yes,3079
underweight,female,vegetarian,twice a day,wood,private,sometimes,172,very frequently,6993,large,7,20,8,19,Yes,2280
obese,female,omnivore,less frequently,electricity,walk/bicycle,often,276,frequently,14,extra large,2,9,40,18,Sometimes,2390
overweight,male,pescatarian,daily,wood,walk/bicycle,often,124,never,50,medium,3,4,13,15,Yes,1040
obese,male,vegetarian,less frequently,natural gas,public,never,186,frequently,918,extra large,5,13,33,7,Yes,3018
underweight,male,pescatarian,less frequently,coal,walk/bicycle,sometimes,240,never,52,small,6,14,2,2,Yes,831
underweight,female,omnivore,daily,natural gas,walk/bicycle,sometimes,173,rarely,6,large,5,11,33,7,No,1580
underweight,female,pescatarian,twice a day,natural gas,public,often,118,very frequently,1510,medium,3,9,31,24,No,2354
obese,male,pescatarian,twice a day,coal,private,often,86,frequently,2019,large,4,3,4,13,Sometimes,3514
underweight,female,omnivore,daily,coal,walk/bicycle,never,263,rarely,63,small,5,20,33,0,No,1602
overweight,female,vegan,twice a day,electricity,private,never,65,frequently,4677,small,1,10,9,17,No,2286
overweight,female,pescatarian,twice a day,natural gas,private,never,67,very frequently,6384,medium,5,11,43,18,No,3990
obese,female,pescatarian,twice a day,natural gas,private,never,193,very frequently,9812,large,3,5,31,17,No,6515
underweight,female,omnivore,twice a day,wood,public,never,283,very frequently,237,large,4,7,50,10,Sometimes,2610
underweight,male,omnivore,daily,electricity,walk/bicycle,sometimes,82,never,57,medium,3,23,24,14,Sometimes,912
normal,male,vegetarian,twice a day,natural gas,walk/bicycle,never,119,rarely,57,extra large,4,7,50,15,Yes,2022
normal,male,vegan,less frequently,wood,walk/bicycle,sometimes,297,never,46,medium,1,13,29,23,Sometimes,1050
underweight,female,omnivore,less frequently,electricity,private,never,144,never,1382,medium,3,5,22,24,Sometimes,735
obese,male,vegan,daily,electricity,public,sometimes,217,rarely,287,large,6,5,30,8,Yes,1902
overweight,male,pescatarian,less frequently,electricity,public,never,273,rarely,1463,medium,1,14,31,5,Yes,1250
underweight,male,omnivore,twice a day,electricity,walk/bicycle,sometimes,161,rarely,41,extra large,4,19,13,24,Yes,1476
underweight,female,vegan,less frequently,electricity,walk/bicycle,often,196,frequently,8,extra large,2,16,19,3,Sometimes,1279
normal,female,vegan,more frequently,wood,public,often,214,frequently,1269,small,1,13,14,7,Sometimes,1320
obese,male,pescatarian,less frequently,wood,private,never,273,frequently,2276,small,1,23,24,12,Yes,2861
underweight,female,omnivore,less frequently,electricity,private,never,120,rarely,1401,extra large,2,16,33,1,Yes,766
underweight,female,omnivore,more frequently,wood,public,never,216,never,447,small,6,11,15,5,Yes,810
normal,male,omnivore,twice a day,coal,public,never,69,never,47,extra large,2,6,21,18,Sometimes,1110
underweight,female,vegan,more frequently,wood,walk/bicycle,sometimes,248,very frequently,13,medium,6,4,6,5,Yes,1890
overweight,male,vegetarian,twice a day,wood,walk/bicycle,often,111,very frequently,70,medium,7,23,40,9,Sometimes,3444
overweight,female,vegan,daily,natural gas,walk/bicycle,sometimes,234,frequently,71,medium,4,20,3,18,Yes,1622
obese,male,omnivore,twice a day,electricity,public,sometimes,148,rarely,291,medium,4,21,32,16,No,1680
underweight,female,vegetarian,more frequently,electricity,private,often,134,rarely,2226,extra large,3,18,50,19,Yes,1807
normal,male,vegetarian,daily,electricity,private,often,298,very frequently,4007,large,6,9,36,19,Yes,4129
underweight,male,vegetarian,daily,wood,public,sometimes,256,rarely,62,large,3,17,11,0,Yes,1503
normal,female,omnivore,more frequently,natural gas,walk/bicycle,never,213,frequently,34,extra large,6,13,25,13,No,2119
obese,male,omnivore,daily,coal,walk/bicycle,often,53,frequently,21,extra large,5,12,49,0,Sometimes,3512
overweight,female,vegan,less frequently,electricity,public,sometimes,101,very frequently,1318,large,2,0,17,8,Yes,1723
obese,female,vegan,daily,coal,walk/bicycle,often,223,rarely,98,small,3,5,27,13,Sometimes,1538
underweight,male,vegan,daily,natural gas,public,often,92,never,931,extra large,7,4,29,14,Yes,2005
underweight,female,vegan,daily,coal,walk/bicycle,never,149,rarely,73,extra large,3,12,41,22,Yes,1763
overweight,female,pescatarian,twice a day,electricity,walk/bicycle,sometimes,297,rarely,72,small,1,3,26,6,Sometimes,1066
underweight,female,vegetarian,daily,natural gas,private,sometimes,263,frequently,7537,large,2,20,29,7,No,3256
overweight,male,omnivore,less frequently,coal,public,sometimes,291,never,1179,small,4,8,44,18,Yes,2243
overweight,male,vegetarian,daily,wood,walk/bicycle,sometimes,246,very frequently,84,small,3,7,33,0,No,2643
obese,male,vegetarian,twice a day,natural gas,walk/bicycle,often,256,frequently,50,small,2,6,7,16,No,2035
underweight,male,omnivore,twice a day,natural gas,public,often,196,very frequently,1250,large,4,23,0,15,No,2708
normal,male,pescatarian,more frequently,coal,public,often,158,never,1649,medium,2,5,3,10,Yes,1358
overweight,male,vegan,daily,natural gas,walk/bicycle,sometimes,254,never,86,large,1,8,30,5,Sometimes,1238
normal,male,pescatarian,twice a day,wood,public,never,226,rarely,1702,small,2,3,8,2,Yes,1263
obese,male,vegetarian,less frequently,coal,walk/bicycle,sometimes,210,frequently,51,small,7,10,39,4,No,2464
normal,male,pescatarian,less frequently,electricity,private,sometimes,66,never,449,extra large,1,17,20,22,No,802
obese,female,omnivore,less frequently,electricity,public,sometimes,249,frequently,1802,large,1,3,6,17,Yes,1538
underweight,male,vegetarian,twice a day,natural gas,public,sometimes,272,very frequently,1502,large,4,3,13,15,No,2598
overweight,male,vegan,less frequently,wood,private,never,140,rarely,5868,large,4,23,7,21,Yes,3098
overweight,female,vegan,twice a day,coal,public,never,63,never,1778,extra large,7,6,4,5,Yes,1444
overweight,male,pescatarian,more frequently,electricity,public,never,268,never,824,medium,4,18,17,3,No,1140
normal,male,vegetarian,daily,wood,walk/bicycle,often,205,never,65,medium,7,19,31,12,Sometimes,1709
normal,female,omnivore,twice a day,coal,private,sometimes,87,frequently,8454,small,2,21,35,3,Sometimes,1693
normal,male,vegetarian,daily,coal,private,often,160,never,2635,large,1,11,15,22,No,2031
obese,female,omnivore,less frequently,electricity,private,often,196,very frequently,4296,extra large,7,20,1,10,Sometimes,4069
normal,male,vegetarian,more frequently,wood,public,sometimes,229,rarely,401,large,1,20,36,21,No,1756
overweight,male,pescatarian,more frequently,coal,private,never,164,never,5067,small,1,12,4,15,Yes,2983
obese,male,omnivore,daily,natural gas,private,never,77,very frequently,4281,medium,1,19,11,14,Sometimes,2625
normal,female,pescatarian,more frequently,electricity,private,sometimes,136,frequently,2230,small,5,9,16,19,Yes,1223
obese,female,vegan,twice a day,electricity,public,never,205,rarely,1439,medium,2,4,30,8,No,1144
overweight,female,vegan,twice a day,wood,walk/bicycle,never,255,frequently,69,small,1,13,10,6,Yes,1276
underweight,female,pescatarian,less frequently,coal,private,often,216,never,3149,medium,2,24,17,3,No,1828
overweight,male,pescatarian,twice a day,coal,private,often,143,never,9439,small,1,20,5,10,Yes,2865
obese,female,pescatarian,more frequently,wood,walk/bicycle,never,289,frequently,24,medium,3,6,20,15,Yes,1913
overweight,male,vegetarian,less frequently,coal,private,sometimes,203,very frequently,2948,large,1,9,40,9,Sometimes,4061
normal,male,vegetarian,twice a day,coal,public,often,190,rarely,1651,large,2,14,8,23,Sometimes,1470
underweight,female,pescatarian,twice a day,electricity,private,often,294,never,8383,medium,4,14,50,2,No,1484
obese,male,pescatarian,twice a day,wood,private,sometimes,115,never,9952,small,4,11,6,0,Sometimes,826
obese,female,vegan,more frequently,coal,walk/bicycle,never,126,frequently,39,extra large,1,11,8,8,Sometimes,1866
obese,female,vegan,more frequently,electricity,private,often,86,never,1625,medium,6,6,1,8,No,1130
normal,male,pescatarian,less frequently,wood,public,often,94,rarely,927,medium,5,18,10,21,Yes,1425
underweight,male,vegan,daily,coal,public,often,99,frequently,527,small,7,9,47,2,Sometimes,2201
overweight,male,omnivore,daily,natural gas,walk/bicycle,sometimes,180,rarely,80,large,5,18,38,1,No,2071
normal,female,omnivore,daily,natural gas,private,sometimes,145,rarely,2885,small,4,3,33,21,Sometimes,2349
obese,female,pescatarian,more frequently,natural gas,private,sometimes,120,never,4911,large,4,5,12,5,Sometimes,3075
underweight,male,omnivore,more frequently,electricity,walk/bicycle,often,61,very frequently,54,medium,2,1,38,7,Sometimes,2291
obese,male,vegan,twice a day,natural gas,public,often,242,never,1922,medium,7,20,36,5,No,1882
underweight,male,vegetarian,twice a day,natural gas,walk/bicycle,never,117,rarely,94,large,5,20,35,18,No,1609
underweight,male,pescatarian,twice a day,coal,public,sometimes,98,never,346,medium,2,9,27,14,Yes,1532
overweight,female,vegan,less frequently,coal,public,sometimes,109,never,1680,extra large,1,6,44,23,Yes,1321
overweight,female,omnivore,more frequently,electricity,walk/bicycle,never,90,rarely,79,large,7,18,43,14,Yes,1765
normal,female,pescatarian,daily,electricity,private,sometimes,180,very frequently,5210,extra large,2,2,13,19,Yes,3326
overweight,male,vegan,more frequently,coal,public,often,177,never,168,extra large,4,15,38,4,Yes,2337
underweight,male,vegan,daily,electricity,walk/bicycle,often,116,very frequently,49,small,6,7,1,2,Sometimes,1917
normal,male,vegan,daily,coal,private,never,171,never,9897,medium,1,22,17,14,No,1212
obese,male,omnivore,daily,coal,public,often,95,rarely,325,small,5,10,50,19,No,2409
normal,female,vegan,daily,wood,walk/bicycle,sometimes,203,frequently,47,medium,5,6,19,19,No,1586
normal,female,pescatarian,less frequently,wood,public,never,274,frequently,824,small,1,4,13,15,No,1466
obese,male,pescatarian,twice a day,natural gas,public,never,76,never,266,extra large,7,24,2,20,Yes,2175
normal,male,vegan,twice a day,wood,private,often,132,very frequently,8860,large,3,17,31,23,No,5816
overweight,female,omnivore,more frequently,natural gas,private,sometimes,105,rarely,9402,small,7,16,30,6,Yes,3944
underweight,male,vegetarian,more frequently,wood,private,never,265,frequently,4135,extra large,7,3,41,4,No,3589
obese,male,omnivore,twice a day,coal,walk/bicycle,often,224,never,0,large,1,15,30,9,No,1687
overweight,male,pescatarian,daily,wood,private,sometimes,272,rarely,3808,extra large,4,7,23,17,Yes,3434
underweight,female,omnivore,twice a day,electricity,walk/bicycle,often,214,very frequently,42,large,7,20,39,3,No,2640
